# 'Elapsed time',' I',' II',' RESP',' SCG'
# 'hh:mm:ss.mmm','mV','mV','mV','mV'
'0:00.875',0.07538102,0.11536649,-0.20935286,-1.37332550
'0:00.876',0.07600375,0.11567107,-0.20964590,-1.37332550
'0:00.876',0.07692304,0.11597565,-0.21025640,-1.40378068
'0:00.876',0.07751612,0.11628023,-0.21057386,-1.43423586
'0:00.876',0.07813886,0.11658481,-0.21086690,-1.43423586
'0:00.876',0.07876160,0.11658481,-0.21118436,-1.46469104
'0:00.877',0.07935468,0.11688939,-0.21179486,-1.46469104
'0:00.877',0.07997742,0.11719397,-0.21208790,-1.46469104
'0:00.877',0.08089670,0.11749855,-0.21240536,-1.49555229
'0:00.877',0.08148978,0.11780313,-0.21269840,-1.49555229
'0:00.877',0.08211252,0.11810771,-0.21330890,-1.52600746
'0:00.878',0.08303180,0.11841229,-0.21362636,-1.55646264
'0:00.878',0.08362489,0.11871687,-0.21391940,-1.55646264
'0:00.878',0.08424763,0.11902145,-0.21423686,-1.58691782
'0:00.878',0.08484071,0.11932603,-0.21484736,-1.61737300
'0:00.878',0.08575999,0.11963061,-0.21514040,-1.61737300
'0:00.879',0.08638273,0.11993519,-0.21545786,-1.64782818
'0:00.879',0.08697581,0.12023977,-0.21606836,-1.64782818
'0:00.879',0.08759855,0.12054435,-0.21636141,-1.67828335
'0:00.879',0.08822129,0.12084892,-0.21667887,-1.67828335
'0:00.879',0.08911092,0.12115350,-0.21728937,-1.67828335
'0:00.880',0.08973366,0.12147193,-0.21758241,-1.70914460
'0:00.880',0.09035640,0.12177651,-0.21789987,-1.70914460
'0:00.880',0.09094948,0.12238567,-0.21819291,-1.70914460
'0:00.880',0.09157222,0.12269025,-0.21880341,-1.73959978
'0:00.880',0.09249150,0.12299483,-0.21912087,-1.73959978
'0:00.881',0.09308458,0.12329941,-0.21941391,-1.73959978
'0:00.881',0.09370732,0.12360399,-0.22002441,-1.73959978
'0:00.881',0.09430041,0.12421315,-0.22034187,-1.73959978
'0:00.881',0.09492314,0.12451773,-0.22063491,-1.73959978
'0:00.881',0.09554588,0.12482231,-0.22124541,-1.73959978
'0:00.882',0.09613897,0.12512689,-0.22156287,-1.70914460
'0:00.882',0.09676171,0.12573604,-0.22185591,-1.70914460
'0:00.882',0.09768099,0.12604062,-0.22246641,-1.70914460
'0:00.882',0.09827407,0.12664978,-0.22278387,-1.70914460
'0:00.882',0.09889681,0.12695436,-0.22339437,-1.67828335
'0:00.883',0.09948989,0.12725894,-0.22368741,-1.67828335
'0:00.883',0.10011263,0.12786810,-0.22400487,-1.67828335
'0:00.883',0.10070572,0.12817268,-0.22461537,-1.64782818
'0:00.883',0.10132846,0.12879569,-0.22490841,-1.64782818
'0:00.883',0.10195119,0.12910027,-0.22522587,-1.64782818
'0:00.884',0.10254428,0.12970943,-0.22583637,-1.61737300
'0:00.884',0.10316702,0.13001401,-0.22612941,-1.61737300
'0:00.884',0.10376010,0.13031859,-0.22673992,-1.61737300
'0:00.884',0.10438284,0.13092774,-0.22705738,-1.61737300
'0:00.884',0.10500558,0.13123232,-0.22735042,-1.61737300
'0:00.885',0.10559866,0.13184148,-0.22796092,-1.61737300
'0:00.885',0.10622140,0.13214606,-0.22827838,-1.61737300
'0:00.885',0.10681449,0.13275522,-0.22888888,-1.61737300
'0:00.885',0.10714068,0.13305980,-0.22918192,-1.61737300
'0:00.885',0.10773377,0.13336438,-0.22949938,-1.64782818
'0:00.886',0.10835650,0.13397354,-0.23010988,-1.64782818
'0:00.886',0.10894959,0.13427812,-0.23040292,-1.67828335
'0:00.886',0.10957233,0.13458270,-0.23101342,-1.70914460
'0:00.886',0.10986887,0.13519186,-0.23133088,-1.73959978
'0:00.886',0.11049161,0.13551028,-0.23194138,-1.77005496
'0:00.887',0.11108469,0.13581486,-0.23223442,-1.80051014
'0:00.887',0.11170743,0.13611944,-0.23255188,-1.83096531
'0:00.887',0.11233017,0.13672860,-0.23316238,-1.83096531
'0:00.887',0.11262671,0.13703318,-0.23345542,-1.86142049
'0:00.887',0.11321980,0.13733776,-0.23406592,-1.89228174
'0:00.888',0.11384253,0.13764234,-0.23438338,-1.92273692
'0:00.888',0.11446527,0.13794692,-0.23499388,-1.92273692
'0:00.888',0.11505836,0.13825150,-0.23528692,-1.95319210
'0:00.888',0.11568110,0.13886066,-0.23589742,-1.95319210
'0:00.888',0.11627418,0.13916524,-0.23621488,-1.98364727
'0:00.889',0.11689692,0.13946982,-0.23650792,-1.98364727
'0:00.889',0.11749000,0.13977440,-0.23711842,-1.98364727
'0:00.889',0.11811274,0.14007898,-0.23743589,-1.98364727
'0:00.889',0.11903202,0.14038356,-0.23804639,-1.98364727
'0:00.889',0.11965476,0.14068814,-0.23833943,-1.95319210
'0:00.890',0.12024784,0.14099272,-0.23894993,-1.95319210
'0:00.890',0.12116713,0.14129730,-0.23926739,-1.95319210
'0:00.890',0.12178986,0.14160188,-0.23987789,-1.95319210
'0:00.890',0.12267949,0.14221104,-0.24017093,-1.92273692
'0:00.890',0.12330223,0.14252946,-0.24078143,-1.92273692
'0:00.891',0.12422151,0.14283404,-0.24109889,-1.92273692
'0:00.891',0.12514079,0.14313862,-0.24170939,-1.92273692
'0:00.891',0.12573387,0.14344320,-0.24200243,-1.89228174
'0:00.891',0.12665316,0.14374778,-0.24261293,-1.89228174
'0:00.891',0.12757244,0.14405236,-0.24293039,-1.89228174
'0:00.892',0.12819517,0.14435694,-0.24354089,-1.86142049
'0:00.892',0.12911446,0.14466152,-0.24383393,-1.86142049
'0:00.892',0.13000408,0.14496610,-0.24444443,-1.86142049
'0:00.892',0.13062682,0.14557526,-0.24476189,-1.86142049
'0:00.892',0.13154610,0.14587984,-0.24537239,-1.86142049
'0:00.893',0.13213919,0.14618442,-0.24566543,-1.86142049
'0:00.893',0.13305847,0.14648900,-0.24627593,-1.86142049
'0:00.893',0.13368120,0.14679358,-0.24659339,-1.86142049
'0:00.893',0.13427429,0.14709816,-0.24720389,-1.89228174
'0:00.893',0.13489703,0.14740274,-0.24749693,-1.89228174
'0:00.894',0.13551977,0.14770732,-0.24810744,-1.92273692
'0:00.894',0.13581631,0.14801190,-0.24842490,-1.95319210
'0:00.894',0.13643905,0.14831648,-0.24903540,-1.95319210
'0:00.894',0.13673559,0.14862106,-0.24932844,-1.98364727
'0:00.894',0.13703213,0.14892564,-0.24993894,-2.01410245
'0:00.895',0.13765487,0.14923022,-0.25025640,-2.04455763
'0:00.895',0.13765487,0.14953480,-0.25086690,-2.04455763
'0:00.895',0.13795141,0.15015780,-0.25115994,-2.07501281
'0:00.895',0.13824795,0.15046238,-0.25177044,-2.10587406
'0:00.895',0.13824795,0.15076696,-0.25208790,-2.10587406
'0:00.896',0.13857415,0.15107154,-0.25269840,-2.13632923
'0:00.896',0.13857415,0.15137612,-0.25299144,-2.13632923
'0:00.896',0.13857415,0.15168070,-0.25360194,-2.13632923
'0:00.896',0.13857415,0.15198528,-0.25391940,-2.16678441
'0:00.896',0.13857415,0.15228986,-0.25452990,-2.13632923
'0:00.897',0.13857415,0.15289902,-0.25482294,-2.13632923
'0:00.897',0.13857415,0.15320360,-0.25543344,-2.13632923
'0:00.897',0.13857415,0.15350818,-0.25575090,-2.10587406
'0:00.897',0.13824795,0.15381276,-0.25633698,-2.07501281
'0:00.897',0.13824795,0.15411734,-0.25665444,-2.07501281
'0:00.898',0.13795141,0.15442192,-0.25726494,-2.04455763
'0:00.898',0.13795141,0.15472650,-0.25755798,-2.01410245
'0:00.898',0.13765487,0.15503108,-0.25816848,-2.01410245
'0:00.898',0.13765487,0.15564024,-0.25848595,-1.98364727
'0:00.898',0.13732867,0.15594481,-0.25909645,-1.98364727
'0:00.899',0.13732867,0.15624939,-0.25938949,-1.98364727
'0:00.899',0.13703213,0.15655397,-0.25999999,-1.98364727
'0:00.899',0.13673559,0.15687240,-0.26031745,-1.98364727
'0:00.899',0.13643905,0.15717698,-0.26092795,-1.98364727
'0:00.899',0.13643905,0.15748156,-0.26122099,-1.98364727
'0:00.900',0.13611285,0.15778614,-0.26183149,-1.98364727
'0:00.900',0.13581631,0.15809072,-0.26214895,-1.95319210
'0:00.900',0.13581631,0.15839530,-0.26275945,-1.95319210
'0:00.900',0.13551977,0.15900446,-0.26305249,-1.95319210
'0:00.900',0.13519357,0.15930904,-0.26366299,-1.95319210
'0:00.901',0.13489703,0.15961362,-0.26398045,-1.95319210
'0:00.901',0.13489703,0.15991820,-0.26459095,-1.92273692
'0:00.901',0.13460049,0.16022278,-0.26488399,-1.92273692
'0:00.901',0.13427429,0.16052736,-0.26549449,-1.92273692
'0:00.901',0.13427429,0.16083193,-0.26581195,-1.92273692
'0:00.902',0.13397775,0.16113651,-0.26642245,-1.92273692
'0:00.902',0.13368120,0.16144109,-0.26671549,-1.95319210
'0:00.902',0.13368120,0.16174567,-0.26732599,-1.95319210
'0:00.902',0.13338466,0.16205025,-0.26764345,-1.95319210
'0:00.902',0.13305847,0.16235483,-0.26825395,-1.98364727
'0:00.903',0.13305847,0.16296399,-0.26854699,-1.98364727
'0:00.903',0.13276192,0.16326857,-0.26915750,-1.98364727
'0:00.903',0.13276192,0.16357315,-0.26947496,-1.98364727
'0:00.903',0.13246538,0.16389158,-0.27008546,-1.98364727
'0:00.903',0.13246538,0.16419616,-0.27037850,-1.98364727
'0:00.904',0.13213919,0.16450074,-0.27098900,-1.98364727
'0:00.904',0.13213919,0.16480532,-0.27130646,-1.95319210
'0:00.904',0.13184264,0.16510990,-0.27191696,-1.95319210
'0:00.904',0.13154610,0.16541448,-0.27221000,-1.92273692
'0:00.904',0.13154610,0.16571905,-0.27282050,-1.92273692
'0:00.905',0.13124956,0.16602363,-0.27313796,-1.89228174
'0:00.905',0.13124956,0.16632821,-0.27374846,-1.89228174
'0:00.905',0.13092336,0.16663279,-0.27404150,-1.86142049
'0:00.905',0.13092336,0.16693737,-0.27465200,-1.86142049
'0:00.905',0.13062682,0.16724195,-0.27496946,-1.83096531
'0:00.906',0.13062682,0.16754653,-0.27526250,-1.83096531
'0:00.906',0.13033028,0.16754653,-0.27587300,-1.80051014
'0:00.906',0.13033028,0.16785111,-0.27619046,-1.80051014
'0:00.906',0.13000408,0.16815569,-0.27680096,-1.77005496
'0:00.906',0.13000408,0.16846027,-0.27709400,-1.77005496
'0:00.907',0.12970754,0.16876485,-0.27770450,-1.73959978
'0:00.907',0.12970754,0.16906943,-0.27802196,-1.73959978
'0:00.907',0.12970754,0.16937401,-0.27863246,-1.73959978
'0:00.907',0.12941100,0.16937401,-0.27892550,-1.73959978
'0:00.907',0.12941100,0.16967859,-0.27953601,-1.73959978
'0:00.908',0.12941100,0.16998317,-0.27985347,-1.77005496
'0:00.908',0.12941100,0.17028775,-0.28046397,-1.77005496
'0:00.908',0.12941100,0.17059233,-0.28075701,-1.77005496
'0:00.908',0.12941100,0.17059233,-0.28107447,-1.80051014
'0:00.908',0.12970754,0.17091075,-0.28168497,-1.80051014
'0:00.909',0.12970754,0.17121533,-0.28197801,-1.83096531
'0:00.909',0.13000408,0.17121533,-0.28258851,-1.83096531
'0:00.909',0.13033028,0.17151991,-0.28290597,-1.83096531
'0:00.909',0.13033028,0.17182449,-0.28351647,-1.83096531
'0:00.909',0.13062682,0.17182449,-0.28380951,-1.86142049
'0:00.910',0.13124956,0.17212907,-0.28412697,-1.83096531
'0:00.910',0.13154610,0.17243365,-0.28473747,-1.83096531
'0:00.910',0.13184264,0.17243365,-0.28503051,-1.83096531
'0:00.910',0.13246538,0.17273823,-0.28564101,-1.83096531
'0:00.910',0.13305847,0.17273823,-0.28595847,-1.80051014
'0:00.911',0.13368120,0.17304281,-0.28656897,-1.80051014
'0:00.911',0.13427429,0.17304281,-0.28686201,-1.80051014
'0:00.911',0.13519357,0.17334739,-0.28717947,-1.80051014
'0:00.911',0.13581631,0.17334739,-0.28778997,-1.77005496
'0:00.911',0.13673559,0.17365197,-0.28808301,-1.77005496
'0:00.912',0.13765487,0.17365197,-0.28869351,-1.77005496
'0:00.912',0.13857415,0.17395655,-0.28901097,-1.77005496
'0:00.912',0.13946378,0.17395655,-0.28962147,-1.77005496
'0:00.912',0.14070925,0.17426113,-0.28991452,-1.77005496
'0:00.912',0.14192508,0.17426113,-0.29023198,-1.77005496
'0:00.913',0.14284436,0.17456571,-0.29084248,-1.77005496
'0:00.913',0.14406018,0.17456571,-0.29113552,-1.77005496
'0:00.913',0.14557255,0.17456571,-0.29174602,-1.77005496
'0:00.913',0.14678837,0.17487029,-0.29206348,-1.77005496
'0:00.913',0.14803384,0.17487029,-0.29235652,-1.73959978
'0:00.914',0.14954621,0.17487029,-0.29296702,-1.73959978
'0:00.914',0.15076203,0.17517487,-0.29328448,-1.70914460
'0:00.914',0.15230405,0.17517487,-0.29357752,-1.70914460
'0:00.914',0.15381642,0.17517487,-0.29418802,-1.67828335
'0:00.914',0.15535844,0.17547945,-0.29450548,-1.64782818
'0:00.915',0.15687080,0.17547945,-0.29511598,-1.64782818
'0:00.915',0.15870936,0.17547945,-0.29540902,-1.61737300
'0:00.915',0.16022173,0.17578403,-0.29572648,-1.61737300
'0:00.915',0.16176375,0.17578403,-0.29633698,-1.61737300
'0:00.915',0.16357265,0.17578403,-0.29663002,-1.61737300
'0:00.916',0.16511467,0.17608861,-0.29694748,-1.61737300
'0:00.916',0.16695323,0.17608861,-0.29755798,-1.61737300
'0:00.916',0.16846560,0.17608861,-0.29785102,-1.61737300
'0:00.916',0.17030416,0.17639319,-0.29846152,-1.58691782
'0:00.916',0.17214272,0.17639319,-0.29877898,-1.58691782
'0:00.917',0.17395163,0.17639319,-0.29907202,-1.58691782
'0:00.917',0.17549365,0.17669777,-0.29968252,-1.58691782
'0:00.917',0.17733221,0.17669777,-0.29999998,-1.55646264
'0:00.917',0.17914112,0.17700235,-0.30029302,-1.55646264
'0:00.917',0.18097968,0.17700235,-0.30090353,-1.55646264
'0:00.918',0.18281824,0.17730693,-0.30122099,-1.52600746
'0:00.918',0.18433061,0.17730693,-0.30151403,-1.52600746
'0:00.918',0.18616917,0.17761151,-0.30212453,-1.52600746
'0:00.918',0.18800773,0.17761151,-0.30244199,-1.49555229
'0:00.918',0.18981663,0.17792993,-0.30273503,-1.49555229
'0:00.919',0.19135865,0.17792993,-0.30334553,-1.49555229
'0:00.919',0.19319722,0.17823451,-0.30366299,-1.49555229
'0:00.919',0.19500612,0.17823451,-0.30395603,-1.49555229
'0:00.919',0.19654814,0.17853909,-0.30456653,-1.49555229
'0:00.919',0.19838670,0.17853909,-0.30488399,-1.49555229
'0:00.920',0.19989907,0.17884367,-0.30517703,-1.49555229
'0:00.920',0.20144109,0.17884367,-0.30549449,-1.49555229
'0:00.920',0.20324999,0.17914825,-0.30608057,-1.49555229
'0:00.920',0.20479201,0.17914825,-0.30639803,-1.49555229
'0:00.920',0.20630438,0.17945283,-0.30669107,-1.52600746
'0:00.921',0.20784640,0.17945283,-0.30730157,-1.52600746
'0:00.921',0.20935876,0.17975741,-0.30761903,-1.52600746
'0:00.921',0.21090078,0.17975741,-0.30791207,-1.52600746
'0:00.921',0.21211661,0.18006199,-0.30852257,-1.52600746
'0:00.921',0.21362897,0.18036657,-0.30884003,-1.52600746
'0:00.922',0.21517099,0.18036657,-0.30913307,-1.52600746
'0:00.922',0.21638681,0.18067115,-0.30945053,-1.52600746
'0:00.922',0.21789918,0.18097573,-0.31006103,-1.52600746
'0:00.922',0.21911500,0.18128031,-0.31035407,-1.52600746
'0:00.922',0.22036048,0.18128031,-0.31067153,-1.52600746
'0:00.923',0.22157630,0.18158489,-0.31128204,-1.52600746
'0:00.923',0.22279212,0.18188947,-0.31157508,-1.52600746
'0:00.923',0.22400795,0.18219405,-0.31189254,-1.52600746
'0:00.923',0.22492723,0.18249863,-0.31218558,-1.52600746
'0:00.923',0.22614305,0.18280321,-0.31279608,-1.52600746
'0:00.924',0.22706233,0.18310779,-0.31311354,-1.52600746
'0:00.924',0.22827815,0.18310779,-0.31340658,-1.52600746
'0:00.924',0.22919743,0.18341237,-0.31372404,-1.52600746
'0:00.924',0.23011671,0.18371695,-0.31433454,-1.52600746
'0:00.924',0.23070980,0.18402153,-0.31462758,-1.52600746
'0:00.925',0.23162908,0.18432611,-0.31494504,-1.52600746
'0:00.925',0.23225182,0.18463069,-0.31523808,-1.52600746
'0:00.925',0.23287456,0.18493527,-0.31584858,-1.49555229
'0:00.925',0.23376418,0.18525369,-0.31616604,-1.49555229
'0:00.925',0.23409038,0.18555827,-0.31645908,-1.49555229
'0:00.926',0.23468346,0.18586285,-0.31677654,-1.49555229
'0:00.926',0.23530620,0.18616743,-0.31706958,-1.49555229
'0:00.926',0.23560274,0.18647201,-0.31768008,-1.49555229
'0:00.926',0.23589929,0.18647201,-0.31799754,-1.49555229
'0:00.926',0.23622548,0.18677659,-0.31829058,-1.49555229
'0:00.927',0.23652202,0.18708117,-0.31860804,-1.49555229
'0:00.927',0.23652202,0.18738575,-0.31921854,-1.46469104
'0:00.927',0.23681857,0.18738575,-0.31951158,-1.46469104
'0:00.927',0.23681857,0.18769033,-0.31982904,-1.46469104
'0:00.927',0.23714476,0.18799491,-0.32012208,-1.46469104
'0:00.928',0.23714476,0.18829949,-0.32043954,-1.43423586
'0:00.928',0.23714476,0.18829949,-0.32105004,-1.43423586
'0:00.928',0.23681857,0.18860407,-0.32134308,-1.43423586
'0:00.928',0.23681857,0.18890865,-0.32166055,-1.40378068
'0:00.928',0.23681857,0.18890865,-0.32195359,-1.40378068
'0:00.929',0.23652202,0.18921323,-0.32227105,-1.37332550
'0:00.929',0.23622548,0.18951781,-0.32256409,-1.34287033
'0:00.929',0.23622548,0.18951781,-0.32317459,-1.34287033
'0:00.929',0.23589929,0.18982239,-0.32349205,-1.31241515
'0:00.929',0.23560274,0.19012697,-0.32378509,-1.31241515
'0:00.930',0.23530620,0.19043155,-0.32410255,-1.28155390
'0:00.930',0.23500966,0.19043155,-0.32439559,-1.28155390
'0:00.930',0.23438692,0.19073613,-0.32471305,-1.28155390
'0:00.930',0.23409038,0.19104070,-0.32532355,-1.25109872
'0:00.930',0.23346764,0.19134528,-0.32561659,-1.25109872
'0:00.931',0.23317110,0.19134528,-0.32593405,-1.22064354
'0:00.931',0.23254836,0.19164986,-0.32622709,-1.22064354
'0:00.931',0.23225182,0.19195444,-0.32654455,-1.19018836
'0:00.931',0.23162908,0.19195444,-0.32683759,-1.15973319
'0:00.931',0.23103599,0.19227287,-0.32744809,-1.15973319
'0:00.932',0.23041326,0.19227287,-0.32776555,-1.12927801
'0:00.932',0.22982017,0.19257745,-0.32805859,-1.09882283
'0:00.932',0.22919743,0.19288203,-0.32837605,-1.09882283
'0:00.932',0.22857469,0.19288203,-0.32866909,-1.06796158
'0:00.932',0.22798161,0.19318661,-0.32898655,-1.06796158
'0:00.933',0.22735887,0.19318661,-0.32927959,-1.03750640
'0:00.933',0.22643959,0.19349119,-0.32959705,-1.03750640
'0:00.933',0.22584651,0.19349119,-0.33020755,-1.03750640
'0:00.933',0.22522377,0.19379577,-0.33050059,-1.03750640
'0:00.933',0.22463068,0.19379577,-0.33081805,-1.03750640
'0:00.934',0.22371140,0.19379577,-0.33111109,-1.03750640
'0:00.934',0.22308867,0.19410035,-0.33142855,-1.03750640
'0:00.934',0.22249558,0.19410035,-0.33172159,-1.03750640
'0:00.934',0.22157630,0.19410035,-0.33203906,-1.06796158
'0:00.934',0.22095356,0.19440493,-0.33233210,-1.06796158
'0:00.935',0.22036048,0.19440493,-0.33264956,-1.06796158
'0:00.935',0.21973774,0.19440493,-0.33294260,-1.09882283
'0:00.935',0.21881846,0.19470951,-0.33355310,-1.09882283
'0:00.935',0.21822537,0.19470951,-0.33387056,-1.09882283
'0:00.935',0.21760264,0.19470951,-0.33416360,-1.09882283
'0:00.936',0.21697990,0.19501409,-0.33448106,-1.09882283
'0:00.936',0.21638681,0.19501409,-0.33477410,-1.06796158
'0:00.936',0.21576407,0.19501409,-0.33509156,-1.06796158
'0:00.936',0.21517099,0.19501409,-0.33538460,-1.03750640
'0:00.936',0.21454825,0.19501409,-0.33570206,-1.00705123
'0:00.937',0.21392551,0.19531867,-0.33599510,-0.97659605
'0:00.937',0.21333243,0.19531867,-0.33631256,-0.94614087
'0:00.937',0.21270969,0.19531867,-0.33660560,-0.91568569
'0:00.937',0.21211661,0.19531867,-0.33692306,-0.88482444
'0:00.937',0.21149387,0.19531867,-0.33721610,-0.85436927
'0:00.938',0.21090078,0.19531867,-0.33753356,-0.82391409
'0:00.938',0.21027804,0.19531867,-0.33814406,-0.79345891
'0:00.938',0.20998150,0.19501409,-0.33843710,-0.79345891
'0:00.938',0.20935876,0.19501409,-0.33875456,-0.76300373
'0:00.938',0.20876568,0.19501409,-0.33904760,-0.73254855
'0:00.939',0.20814294,0.19501409,-0.33936506,-0.73254855
'0:00.939',0.20784640,0.19501409,-0.33965810,-0.70209338
'0:00.939',0.20722366,0.19501409,-0.33997556,-0.67123213
'0:00.939',0.20660092,0.19470951,-0.34026860,-0.67123213
'0:00.939',0.20630438,0.19470951,-0.34058606,-0.64077695
'0:00.940',0.20571129,0.19470951,-0.34087910,-0.61032177
'0:00.940',0.20538510,0.19440493,-0.34119656,-0.61032177
'0:00.940',0.20479201,0.19440493,-0.34148960,-0.57986659
'0:00.940',0.20416928,0.19440493,-0.34180706,-0.57986659
'0:00.940',0.20387273,0.19410035,-0.34210010,-0.54941142
'0:00.941',0.20357619,0.19410035,-0.34241756,-0.54941142
'0:00.941',0.20295345,0.19379577,-0.34271061,-0.54941142
'0:00.941',0.20265691,0.19379577,-0.34302807,-0.51895624
'0:00.941',0.20203417,0.19349119,-0.34332111,-0.51895624
'0:00.941',0.20173763,0.19349119,-0.34363857,-0.51895624
'0:00.942',0.20144109,0.19318661,-0.34393161,-0.51895624
'0:00.942',0.20111489,0.19288203,-0.34424907,-0.48809499
'0:00.942',0.20081835,0.19288203,-0.34454211,-0.48809499
'0:00.942',0.20019561,0.19257745,-0.34485957,-0.48809499
'0:00.942',0.19989907,0.19227287,-0.34515261,-0.48809499
'0:00.943',0.19960253,0.19195444,-0.34547007,-0.45763981
'0:00.943',0.19960253,0.19195444,-0.34576311,-0.45763981
'0:00.943',0.19930598,0.19164986,-0.34608057,-0.42718463
'0:00.943',0.19897979,0.19134528,-0.34637361,-0.39672945
'0:00.943',0.19868325,0.19104070,-0.34669107,-0.39672945
'0:00.944',0.19838670,0.19073613,-0.34698411,-0.36627428
'0:00.944',0.19806051,0.19043155,-0.34698411,-0.33581910
'0:00.944',0.19776396,0.19012697,-0.34730157,-0.33581910
'0:00.944',0.19776396,0.18951781,-0.34759461,-0.30536392
'0:00.944',0.19746742,0.18921323,-0.34791207,-0.27450267
'0:00.945',0.19714123,0.18890865,-0.34820511,-0.27450267
'0:00.945',0.19684468,0.18860407,-0.34852257,-0.24404749
'0:00.945',0.19684468,0.18799491,-0.34881561,-0.21359232
'0:00.945',0.19654814,0.18769033,-0.34913307,-0.21359232
'0:00.945',0.19625160,0.18708117,-0.34942611,-0.21359232
'0:00.946',0.19592540,0.18677659,-0.34974357,-0.21359232
'0:00.946',0.19562886,0.18616743,-0.35003661,-0.21359232
'0:00.946',0.19562886,0.18586285,-0.35035407,-0.21359232
'0:00.946',0.19533232,0.18525369,-0.35064711,-0.21359232
'0:00.946',0.19500612,0.18463069,-0.35096457,-0.21359232
'0:00.947',0.19470958,0.18432611,-0.35125761,-0.21359232
'0:00.947',0.19441304,0.18371695,-0.35125761,-0.24404749
'0:00.947',0.19411650,0.18310779,-0.35157507,-0.24404749
'0:00.947',0.19379030,0.18280321,-0.35186811,-0.24404749
'0:00.947',0.19349376,0.18219405,-0.35218557,-0.24404749
'0:00.948',0.19319722,0.18158489,-0.35247861,-0.24404749
'0:00.948',0.19287102,0.18097573,-0.35279607,-0.24404749
'0:00.948',0.19227793,0.18036657,-0.35308911,-0.24404749
'0:00.948',0.19198139,0.17975741,-0.35340658,-0.24404749
'0:00.948',0.19165520,0.17914825,-0.35369962,-0.27450267
'0:00.949',0.19106211,0.17884367,-0.35369962,-0.27450267
'0:00.949',0.19043937,0.17823451,-0.35401708,-0.27450267
'0:00.949',0.19014283,0.17761151,-0.35431012,-0.27450267
'0:00.949',0.18952009,0.17700235,-0.35462758,-0.24404749
'0:00.949',0.18892701,0.17639319,-0.35492062,-0.24404749
'0:00.950',0.18830427,0.17578403,-0.35523808,-0.24404749
'0:00.950',0.18768153,0.17517487,-0.35553112,-0.24404749
'0:00.950',0.18708845,0.17456571,-0.35582416,-0.24404749
'0:00.950',0.18646571,0.17395655,-0.35582416,-0.24404749
'0:00.950',0.18587262,0.17334739,-0.35614162,-0.21359232
'0:00.951',0.18495334,0.17273823,-0.35643466,-0.21359232
'0:00.951',0.18433061,0.17212907,-0.35675212,-0.18313714
'0:00.951',0.18341132,0.17121533,-0.35704516,-0.15268196
'0:00.951',0.18281824,0.17059233,-0.35736262,-0.12222678
'0:00.951',0.18189896,0.16998317,-0.35736262,-0.12222678
'0:00.952',0.18097968,0.16937401,-0.35765566,-0.09136553
'0:00.952',0.18006040,0.16876485,-0.35797312,-0.06091036
'0:00.952',0.17914112,0.16815569,-0.35826616,-0.03045518
'0:00.952',0.17822184,0.16754653,-0.35858362,-0.03045518
'0:00.952',0.17733221,0.16693737,-0.35887666,0.00000000
'0:00.953',0.17608673,0.16632821,-0.35887666,0.03045518
'0:00.953',0.17519711,0.16571905,-0.35919412,0.03045518
'0:00.953',0.17427783,0.16510990,-0.35948716,0.06091036
'0:00.953',0.17303235,0.16450074,-0.35980462,0.06091036
'0:00.953',0.17181653,0.16389158,-0.36009766,0.09136553
'0:00.954',0.17089725,0.16326857,-0.36009766,0.09136553
'0:00.954',0.16968142,0.16265941,-0.36041512,0.09136553
'0:00.954',0.16846560,0.16205025,-0.36070816,0.09136553
'0:00.954',0.16724978,0.16144109,-0.36102562,0.06091036
'0:00.954',0.16603395,0.16052736,-0.36131866,0.06091036
'0:00.955',0.16481813,0.15991820,-0.36131866,0.06091036
'0:00.955',0.16357265,0.15930904,-0.36163612,0.06091036
'0:00.955',0.16235683,0.15869988,-0.36192916,0.03045518
'0:00.955',0.16084447,0.15809072,-0.36224662,0.03045518
'0:00.955',0.15962864,0.15717698,-0.36253966,0.03045518
'0:00.956',0.15838317,0.15655397,-0.36253966,0.00000000
'0:00.956',0.15687080,0.15594481,-0.36285712,0.00000000
'0:00.956',0.15565498,0.15503108,-0.36315016,0.00000000
'0:00.956',0.15411296,0.15442192,-0.36346762,0.00000000
'0:00.956',0.15289714,0.15381276,-0.36346762,-0.03045518
'0:00.957',0.15138477,0.15289902,-0.36376067,-0.03045518
'0:00.957',0.14984275,0.15228986,-0.36407813,-0.06091036
'0:00.957',0.14862693,0.15137612,-0.36437117,-0.06091036
'0:00.957',0.14711456,0.15076696,-0.36437117,-0.09136553
'0:00.957',0.14557255,0.14985322,-0.36468863,-0.12222678
'0:00.958',0.14406018,0.14923022,-0.36498167,-0.12222678
'0:00.958',0.14251816,0.14831648,-0.36529913,-0.15268196
'0:00.958',0.14100580,0.14770732,-0.36529913,-0.15268196
'0:00.958',0.13946378,0.14679358,-0.36559217,-0.18313714
'0:00.958',0.13795141,0.14587984,-0.36590963,-0.15268196
'0:00.959',0.13643905,0.14527068,-0.36620267,-0.15268196
'0:00.959',0.13489703,0.14435694,-0.36620267,-0.15268196
'0:00.959',0.13305847,0.14344320,-0.36652013,-0.12222678
'0:00.959',0.13154610,0.14283404,-0.36681317,-0.12222678
'0:00.959',0.13000408,0.14190646,-0.36713063,-0.09136553
'0:00.960',0.12849172,0.14099272,-0.36713063,-0.06091036
'0:00.960',0.12665316,0.14038356,-0.36742367,-0.06091036
